Siruta,Localitate,PersonalMediu_public,PersonalMediu_privat
14922,Bughea De Jos,0.0,2.0
14940,Buzoesti,6.0,4.0
15064,Caldararu,0.0,1.0
15108,Calinesti,42.0,8.0
15233,Cateasca,0.0,4.0
15313,Cepari,0.0,3.0
15402,Cetateni,0.0,3.0
15448,Cicanesti,0.0,2.0
15493,Ciofrangeni,0.0,3.0
15554,Ciomagesti,0.0,2.0
15652,Cocu,0.0,2.0
15741,Corbeni,0.0,7.0
15830,Corbi,0.0,3.0
15901,Cosesti,0.0,6.0
15983,Cotmeana,15.0,1.0
16132,Cuca,0.0,3.0
16285,Davidesti,0.0,4.0
16329,Dambovicioara,0.0,1.0
16365,Darmanesti,0.0,2.0
16427,Dobresti,0.0,2.0
16454,Domnesti,17.0,10.0
16472,Dragoslavele,0.0,3.0
16506,Draganu,0.0,3.0
16551,Godeni,0.0,4.0
16613,Harsesti,0.0,2.0
16659,Hartiesti,0.0,3.0
16739,Izvoru,0.0,2.0
16757,Leordeni,22.0,10.0
16908,Leresti,0.0,7.0
16944,Lunca Corbului,0.0,2.0
17049,Malureni,0.0,3.0
17101,Merisani,1.0,4.0
17209,Micesti,0.0,3.0
17254,Mihaesti,0.0,3.0
17334,Mioarele,0.0,1.0
17398,Mirosi,0.0,2.0
17423,Moraresti,5.0,2.0
17496,Mosoaia,0.0,2.0
17575,Mozaceni,2.0,3.0
17619,Musatesti,0.0,4.0
17726,Negrasi,0.0,2.0
17771,Nucsoara,0.0,2.0
17824,Oarja,0.0,3.0
17851,Pietrosani,0.0,4.0
17913,Poienarii De Arges,0.0,1.0
17968,Poienarii De Muscel,0.0,4.0
18028,Poiana Lacului,0.0,6.0
18162,Popesti,0.0,2.0
18242,Priboieni,0.0,4.0
18331,Ratesti,0.0,3.0
18411,Recea,0.0,2.0
18475,Rociu,0.0,6.0
18527,Rucar,9.0,6.0
18554,Salatrucu,0.0,1.0
18581,Sapata,0.0,3.0
18670,Schitu Golesti,0.0,2.0
18741,Slobozia,0.0,4.0
18778,Stalpeni,0.0,5.0
18858,Stoenesti,0.0,4.0
18938,Stolnici,0.0,3.0
19007,Suseni,0.0,4.0
19114,Stefan Cel Mare,0.0,4.0
19141,Suici,16.0,3.0
19212,Teiu,0.0,2.0
19249,Tigveni,34.0,8.0
19338,Titesti,0.0,5.0
19392,Uda,0.0,3.0
19560,Ungheni,0.0,3.0
19631,Valea Danului,0.0,3.0
19695,Valea Iasului,45.0,4.0
19793,Vedea,39.0,3.0
19999,Vladesti,0.0,3.0
20048,Raca,0.0,1.0
20055,Vulturesti,12.0,0.0
20063,Bughea De Sus,0.0,2.0
20297,Municipiul Bacau,1363.0,631.0
20313,Hemeius,0.0,2.0
20359,Letea Veche,0.0,6.0
20411,Magura,0.0,7.0
20466,Margineni,0.0,20.0
20563,Municipiul Onesti,377.0,98.0
20607,Gura Vaii,2.0,2.0
20670,Stefan Cel Mare,0.0,2.0
20778,Oras Buhusi,106.0,60.0
20821,Oras Comanesti,120.0,59.0
20876,Municipiul Moinesti,169.0,73.0
20910,Oras Slanic-Moldova,11.0,6.0
20965,Oras Targu Ocna,64.0,26.0
21007,Agas,0.0,6.0
21098,Ardeoani,0.0,3.0
21123,Asau,0.0,5.0
21196,Balcani,0.0,3.0
21249,Beresti-Bistrita,0.0,2.0
21338,Beresti-Tazlau,0.0,5.0
21418,Berzunti,1.0,3.0
21454,Barsanesti,0.0,2.0
21506,Blagesti,1.0,4.0
21560,Bogdanesti,0.0,1.0
21597,Brusturoasa,0.0,1.0
21668,Buhoci,0.0,5.0
21720,Casin,0.0,1.0
21757,Caiuti,0.0,2.0
21855,Cleja,0.0,4.0
21891,Colonesti,0.0,1.0
21971,Corbasca,0.0,2.0
22059,Cotofanesti,0.0,2.0
22111,Damienesti,0.0,1.0
22166,Oras Darmanesti,32.0,9.0
22237,Dealu Morii,0.0,1.0
22380,Dofteana,0.0,8.0
22460,Faraoani,0.0,4.0
22488,Filipeni,0.0,1.0
22576,Filipesti,27.0,3.0
22665,Gaiceana,0.0,2.0
22718,Ghimes-Faget,0.0,3.0
22781,Garleni,0.0,5.0
22834,Glavanesti,1.0,1.0
22898,Helegiu,0.0,4.0
22941,Horgesti,0.0,4.0
23047,Huruiesti,0.0,2.0
23127,Izvoru Berheciului,0.0,1.0
23207,Lipova,1.0,2.0
23289,Livezi,0.0,3.0
23350,Luizi-Calugara,0.0,3.0
23387,Magiresti,0.0,1.0
23449,Manastirea Casin,0.0,3.0
23494,Motoseni,1.0,2.0
23644,Negri,0.0,1.0
23715,Nicolae Balcescu,0.0,8.0
23797,Oituz,0.0,12.0
23868,Oncesti,0.0,3.0
23948,Orbeni,0.0,2.0
23975,Palanca,0.0,2.0
24034,Parava,0.0,2.0
24089,Parincea,10.0,3.0
24187,Pancesti,0.0,4.0
24276,Pargaresti,1.0,2.0
24338,Parjol,0.0,2.0
24427,Plopana,1.0,2.0
24524,Podu Turcului,1.0,48.0
24631,Poduri,0.0,3.0
24711,Racova,0.0,2.0
24766,Racaciuni,51.0,4.0
24837,Rachitoasa,14.0,4.0
24999,Rosiori,0.0,1.0
25068,Sascut,1.0,7.0
25148,Sanduleni,0.0,1.0
25228,Saucesti,0.0,6.0
25291,Scorteni,2.0,1.0
25362,Secuieni,0.0,3.0
25488,Solont,0.0,2.0
25521,Stanisesti,0.0,3.0
25629,Strugari,0.0,1.0
25692,Tamasi,0.0,1.0
25745,Tatarasti,0.0,1.0
25825,Targu Trotus,0.0,7.0
25861,Traian,0.0,2.0
25932,Ungureni,17.0,2.0
26029,Urechesti,1.0,2.0
26083,Valea Seaca,2.0,3.0
26118,Vultureni,0.0,1.0
26289,Zemes,0.0,2.0
26320,Sarata,0.0,0.0
26338,Buciumi,0.0,1.0
26346,Gioseni,0.0,1.0
26353,Odobesti,0.0,1.0
26361,Prajesti,0.0,1.0
26379,Itesti,1.0,0.0
26564,Municipiul Oradea,1757.0,615.0
26582,Sanmartin,86.0,11.0
26653,Santandrei,0.0,4.0
26699,Oras Alesd,86.0,21.0
26742,Astileu,0.0,5.0
26804,Municipiul Beius,165.0,63.0
26840,Oras Stei,85.0,9.0
26877,Municipiul Marghita,133.0,73.0
26920,Oras Nucet,86.0,43.0
26975,Municipiul Salonta,74.0,27.0
27007,Oras Vascau,2.0,0.0
27070,Abram,0.0,2.0
27169,Abramut,1.0,4.0
27212,Auseu,1.0,2.0
27285,Avram Iancu,0.0,2.0
27329,Balc,1.0,5.0
27383,Batar,0.0,4.0
27436,Biharia,0.0,5.0
27506,Boianu Mare,0.0,2.0
27560,Borod,0.0,3.0
27631,Bors,0.0,5.0
27686,Bratca,36.0,4.0
27757,Brusturi,0.0,5.0
27846,Budureasa,1.0,0.0
27908,Buduslau,0.0,2.0
27935,Bulz,26.0,3.0
27971,Buntesti,0.0,5.0
28077,Cabesti,0.0,2.0
28139,Capalna,0.0,3.0
28193,Carpinet,0.0,0.0
28246,Cefa,0.0,5.0
28335,Ceica,0.0,5.0
28415,Cetariu,0.0,2.0
28497,Cherechiu,0.0,5.0
28530,Chislaz,0.0,4.0
28610,Ciuhoi,0.0,3.0
28665,Ciumeghiu,17.0,3.0
28709,Campani,0.0,6.0
28763,Cociuba Mare,0.0,5.0
28816,Copacel,0.0,2.0
28889,Cristioru De Jos,0.0,1.0
28941,Curatele,0.0,3.0
29001,Curtuiseni,0.0,1.0
29038,Derna,0.0,2.0
29092,Diosig,2.0,6.0
29154,Dobresti,2.0,5.0
29243,Draganesti,0.0,2.0
29341,Dragesti,0.0,2.0
29403,Finis,0.0,6.0
29467,Girisu De Cris,0.0,3.0
29519,Hidiselu De Sus,0.0,5.0
29573,Holod,0.0,2.0
29662,Husasau De Tinca,0.0,4.0
29724,Ineu,0.0,4.0
29760,Lazuri De Beius,0.0,6.0
29813,Lazareni,0.0,3.0
29902,Lugasu De Jos,0.0,4.0
29948,Lunca,0.0,4.0
30014,Madaras,0.0,2.0
30069,Magesti,0.0,2.0
30149,Nojorid,0.0,4.0
30229,Olcea,0.0,4.0
30274,Osorhei,0.0,4.0
30336,Pietroasa,0.0,4.0
30416,Pocola,0.0,4.0
30470,Pomezeu,0.0,2.0
30568,Popesti,34.0,6.0
30648,Rabagani,0.0,4.0
30719,Remetea,0.0,2.0
30773,Rieni,0.0,2.0
30844,Rosia,0.0,3.0
30871,Sacadat,0.0,2.0
30915,Oras Sacueni,3.0,0.0
30988,Salacea,0.0,0.0
31011,Salard,0.0,6.0
31057,Sambata,0.0,4.0
31128,Sarbi,0.0,2.0
31208,Spinus,0.0,4.0
31262,Suplacu De Barcau,1.0,6.0
31333,Simian,0.0,4.0
31379,Sinteu,0.0,2.0
31422,Soimi,0.0,2.0
31510,Suncuius,1.0,4.0
31565,Tarcea,0.0,2.0
31609,Tarcaia,0.0,2.0
31654,Tauteu,11.0,2.0
31716,Tileagd,1.0,4.0
31789,Tinca,47.0,17.0
31841,Tulca,0.0,2.0
31878,Tetchea,2.0,2.0
31921,Uileacu De Beius,0.0,3.0
31976,Vadu Crisului,0.0,2.0
32027,Oras Valea Lui Mihai,7.0,6.0
32045,Viisoara,0.0,2.0
32090,Varciorog,0.0,2.0
32153,Tamaseu,0.0,2.0
32161,Paleu,0.0,1.0
32179,Sannicolau Roman,0.0,2.0
32187,Rosiori,0.0,2.0
32195,Gepiu,0.0,3.0
32201,Toboliu,0.0,1.0
32394,Municipiul Bistrita,715.0,369.0
32483,Oras Beclean,116.0,30.0
32544,Oras Nasaud,116.0,36.0
32599,Oras Sangeorz-Bai,2.0,37.0
32633,Bistrita Bargaului,0.0,4.0
32660,Branistea,0.0,5.0
32704,Budacu De Jos,0.0,3.0
32768,Budesti,1.0,1.0
32811,Caianu Mic,1.0,3.0
32884,Cetate,1.0,4.0
32955,Ciceu-Giurgesti,0.0,2.0
33015,Chiochis,2.0,2.0
33122,Chiuza,1.0,2.0
33177,Cosbuc,0.0,2.0
33202,Dumitra,0.0,6.0
33248,Feldru,2.0,11.0
33275,Galatii Bistritei,0.0,1.0
33337,Ilva Mare,1.0,3.0
33364,Ilva Mica,1.0,3.0
33382,Josenii Bargaului,0.0,5.0
33435,Lechinta,2.0,5.0
33514,Lesu,1.0,2.0
33541,Livezile,1.0,4.0
33603,Lunca Ilvei,0.0,4.0
33621,Maieru,4.0,8.0
33658,Matei,0.0,1.0
33729,Magura Ilvei,0.0,2.0
33765,Mariselu,1.0,1.0
33845,Micestii De Campie,0.0,1.0
33881,Milas,0.0,1.0
33952,Monor,0.0,0.0
33989,Nimigea,1.0,6.0
34075,Nuseni,2.0,4.0
34155,Parva,0.0,2.0
34173,Petru Rares,1.0,6.0
34235,Prundu Bargaului,6.0,16.0
34262,Rebra,0.0,2.0
34280,Rebrisoara,0.0,5.0
34333,Rodna,2.0,6.0
34360,Romuli,0.0,1.0
34397,Salva,0.0,3.0
34422,Silivasu De Campie,0.0,1.0
34477,Sanmihaiu De Campie,0.0,2.0
34547,Spermezeu,1.0,1.0
34618,Sant,1.0,4.0
34645,Sieu,0.0,4.0
34690,Sieu-Magherus,0.0,5.0
34770,Sieu-Odorhei,1.0,2.0
34850,Sieut,0.0,4.0
34903,Sintereag,0.0,3.0
34985,Teaca,10.0,9.0
35054,Telciu,0.0,4.0
35090,Tiha Bargaului,0.0,6.0
35152,Tarlisua,1.0,2.0
35269,Uriu,8.0,3.0
35312,Urmenis,0.0,2.0
35429,Zagra,0.0,3.0
35731,Municipiul Botosani,1277.0,423.0
35759,Curtesti,1.0,6.0
35839,Rachiti,1.0,3.0
35884,Stauceni,0.0,2.0
35946,Oras Darabani,4.0,26.0
36006,Municipiul Dorohoi,189.0,42.0
36060,Oras Saveni,15.0,10.0
36131,Albesti,1.0,10.0
36202,Avrameni,1.0,6.0
36300,Baluseni,2.0,3.0
36373,Braesti,1.0,7.0
36426,Broscauti,1.0,2.0
36453,Oras Bucecea,4.0,8.0
36499,Calarasi,0.0,5.0
36532,Concesti,1.0,2.0
36569,Copalau,1.0,5.0
36649,Cordareni,1.0,4.0
36676,Corlateni,1.0,4.0
36756,Corni,0.0,8.0
36809,Cotusca,3.0,4.0
36907,Cristesti,2.0,6.0
36952,Cristinesti,1.0,3.0
37011,Dersca,8.0,4.0
37057,Dangeni,0.0,2.0
37100,Dobarceni,1.0,3.0
37173,Draguseni,13.0,3.0
37217,Durnesti,0.0,6.0
37280,Oras Flamanzi,14.0,13.0
37324,Frumusica,0.0,7.0
37397,George Enescu,0.0,2.0
37459,Gorbanesti,2.0,3.0
37547,Havarna,0.0,11.0
37618,Hanesti,1.0,2.0
37672,Hiliseu-Horia,1.0,4.0
37734,Hlipiceni,0.0,3.0
37770,Hudesti,3.0,6.0
37823,Ibanesti,1.0,5.0
37850,Leorda,11.0,4.0
37912,Lunca,1.0,5.0
37958,Manoleasa,0.0,2.0
38063,Mihai Eminescu,0.0,8.0
38161,Mihaileni,6.0,5.0
38241,Mihalaseni,1.0,2.0
38321,Mileanca,1.0,7.0
38376,Mitoc,1.0,2.0
38456,Nicseni,0.0,4.0
38492,Paltinis,1.0,4.0
38544,Pomarla,3.0,2.0
38580,Prajeni,0.0,3.0
38633,Radauti-Prut,1.0,2.0
38679,Rauseni,0.0,2.0
38731,Ripiceni,1.0,2.0
38811,Roma,1.0,4.0
38848,Romanesti,0.0,3.0
38893,Santa Mare,1.0,4.0
38982,Suharau,5.0,4.0
39051,Sulita,14.0,5.0
39122,Sendriceni,1.0,2.0
39168,Oras Stefanesti,11.0,5.0
39220,Stiubieni,0.0,2.0
39266,Todireni,1.0,2.0
39328,Trusesti,9.0,6.0
39391,Tudora,2.0,4.0
39417,Ungureni,1.0,5.0
39532,Unteni,0.0,2.0
39612,Vaculesti,1.0,2.0
39658,Viisoara,0.0,2.0
39694,Varfu Campului,12.0,4.0
39738,Vladeni,0.0,3.0
39792,Vlasinesti,2.0,2.0
39836,Vorniceni,0.0,3.0
39872,Vorona,3.0,7.0
39942,Lozna,0.0,2.0
39959,Dimacheni,1.0,0.0
39967,Candesti,0.0,5.0
39975,Cosula,2.0,3.0
39983,Blandesti,0.0,0.0
40035,Adaseni,4.0,0.0
40198,Municipiul Brasov,1454.0,674.0
40214,Oras Ghimbav,1.0,3.0
40241,Municipiul Codlea,76.0,16.0
40278,Municipiul Fagaras,210.0,24.0
40303,Oras Predeal,34.0,4.0
40367,Oras Rasnov,2.0,13.0
40394,Oras Rupea,38.0,6.0
40438,Municipiul Sacele,22.0,21.0
40465,Oras Victoria,11.0,5.0
40492,Oras Zarnesti,85.0,11.0
40526,Apata,0.0,0.0
40544,Beclean,0.0,0.0
40606,Bod,0.0,3.0
40633,Bran,0.0,5.0
40688,Budila,0.0,2.0
40704,Bunesti,0.0,1.0
40768,Cata,0.0,1.0
40820,Cincu,0.0,3.0
40857,Comana,1.0,1.0
40900,Cristian,5.0,4.0
40928,Dumbravita,0.0,4.0
40955,Feldioara,4.0,3.0
40991,Fundata,0.0,2.0
41033,Halchiu,0.0,4.0
41088,Harman,1.0,3.0
41113,Harseni,0.0,2.0
41177,Hoghiz,1.0,3.0
41248,Homorod,1.0,1.0
41284,Jibert,2.0,1.0
41346,Lisa,0.0,1.0
41382,Maierus,0.0,1.0
41417,Mandra,0.0,2.0
41471,Moieciu,0.0,3.0
41541,Ormenis,0.0,2.0
41578,Parau,1.0,2.0
41621,Poiana Marului,0.0,2.0
41667,Prejmer,0.0,8.0
41701,Racos,0.0,1.0
41738,Recea,0.0,2.0
41818,Sercaia,13.0,2.0
41854,Sinca,0.0,3.0
41925,Sanpetru,11.0,9.0
41943,Soars,0.0,1.0
42003,Tarlungeni,15.0,6.0
42058,Teliu,0.0,2.0
42076,Ticusu,1.0,0.0
42101,Ucea,0.0,1.0
42156,Ungra,0.0,1.0
42183,Vama Buzaului,0.0,2.0
42236,Vistea,0.0,2.0
42307,Voila,0.0,1.0
42398,Vulcan,18.0,2.0
42449,Sinca Noua,0.0,0.0
42456,Crizbav,0.0,0.0
42464,Sambata De Sus,0.0,0.0
42472,Holbav,0.0,0.0
42480,Dragus,0.0,0.0
42498,Augustin,0.0,0.0
42682,Municipiul Braila,1578.0,713.0
42708,Chiscani,0.0,8.0
42753,Oras Faurei,32.0,7.0
42771,Surdila-Greci,0.0,1.0
42824,Baraganul,13.0,3.0
42842,Bertestii De Jos,1.0,2.0
42913,Bordei Verde,1.0,2.0
42968,Ciocile,1.0,3.0
43019,Ciresu,1.0,2.0
43073,Dudesti,0.0,5.0
43117,Frecatei,0.0,1.0
43180,Galbenu,1.0,3.0
43242,Gemenele,0.0,2.0
43279,Gradistea,2.0,2.0
43313,Gropeni,0.0,4.0
43331,Oras Ianca,8.0,3.0
43411,Oras Insuratei,0.0,8.0
43466,Jirlau,1.0,3.0
43493,Marasu,2.0,2.0
43563,Maxineni,2.0,2.0
43625,Mircea Voda,0.0,3.0
43652,Movila Miresii,3.0,5.0
43698,Racovita,1.0,3.0
43732,Ramnicelu,1.0,3.0
43787,Romanu,0.0,2.0
43812,Rosiori,1.0,1.0
43867,Salcia Tudor,0.0,0.0
43929,Scortaru Nou,0.0,2.0
43992,Silistea,0.0,2.0
44060,Stancuta,1.0,3.0
44113,Surdila-Gaiseanca,0.0,3.0
44140,Sutesti,2.0,3.0
44177,Tichilesti,7.0,6.0
44202,Traian,1.0,6.0
44257,Tudor Vladimirescu,0.0,4.0
44300,Tufesti,1.0,7.0
44328,Ulmu,1.0,3.0
44355,Unirea,0.0,3.0
44391,Vadeni,22.0,3.0
44435,Victoria,0.0,5.0
44462,Visani,1.0,2.0
44505,Viziru,0.0,5.0
44532,Zavoaia,1.0,3.0
44560,Cazasu,0.0,2.0
44818,Municipiul Buzau,978.0,556.0
44845,Municipiul Ramnicu Sarat,304.0,130.0
44863,Amaru,1.0,3.0
44934,Balta Alba,0.0,3.0
44989,Balaceanu,0.0,2.0
45003,Beceni,4.0,6.0
45101,Berca,3.0,23.0
45245,Bisoca,1.0,2.0
45334,Blajani,0.0,1.0
45361,Boldu,0.0,5.0
45389,Bozioru,1.0,0.0
45496,Bradeanu,0.0,2.0
45539,Braesti,0.0,1.0
45619,Breaza,1.0,2.0
45673,Buda,2.0,2.0
45753,Calvini,3.0,3.0
45815,C.a. Rosetti,0.0,1.0
45888,Canesti,1.0,3.0
45959,Catina,0.0,1.0
46019,Cernatesti,1.0,5.0
46108,Chiliile,1.0,0.0
46180,Chiojdu,0.0,6.0
46251,Cilibia,2.0,2.0
46313,Cislau,0.0,5.0
46377,Cochirleanca,1.0,7.0
46439,Colti,1.0,1.0
46484,Costesti,2.0,5.0
46554,Cozieni,1.0,2.0
46769,Galbinasi,1.0,5.0
46803,Gheraseni,0.0,5.0
46830,Ghergheasa,1.0,3.0
46867,Glodeanu Sarat,0.0,4.0
46910,Glodeanu-Silistea,0.0,5.0
47006,Grebanu,0.0,4.0
47079,Gura Teghii,0.0,2.0
47159,Largu,0.0,0.0
47186,Lopatari,0.0,5.0
47300,Luciu,1.0,3.0
47337,Magura,39.0,4.0
47373,Maracineni,0.0,8.0
47417,Margaritesti,1.0,1.0
47453,Merei,13.0,19.0
47578,Mihailesti,0.0,4.0
47630,Manzalesti,0.0,1.0
47774,Movila Banului,0.0,1.0
47818,Murgesti,1.0,1.0
47854,Naeni,1.0,1.0
47916,Oras Nehoiu,72.0,15.0
48021,Odaile,0.0,1.0
48138,Padina,0.0,5.0
48165,Pardosi,1.0,0.0
48227,Panatau,0.0,1.0
48325,Oras Patarlagele,0.0,31.0
48487,Pietroasele,1.0,4.0
48557,Parscov,1.0,10.0
48682,Podgoria,0.0,1.0
48744,Oras Pogoanele,4.0,10.0
48771,Posta Calnau,1.0,8.0
48842,Puiesti,0.0,7.0
48922,Racoviteni,1.0,1.0
48968,Ramnicelu,3.0,3.0
49019,Robeasca,1.0,1.0
49046,Rusetu,0.0,5.0
49073,Sageata,1.0,5.0
49153,Sahateni,0.0,3.0
49206,Sapoca,120.0,3.0
49233,Sarulesti,1.0,1.0
49313,Scortoasa,1.0,3.0
49439,Scutelnici,1.0,2.0
49484,Siriu,0.0,3.0
49545,Smeeni,27.0,6.0
49625,Stalpu,6.0,3.0
49643,Tisau,2.0,7.0
49769,Topliceni,1.0,3.0
49849,Tintesti,0.0,4.0
49894,Ulmeni,1.0,3.0
49956,Vadu Pasii,1.0,10.0
50022,Valea Ramnicului,1.0,6.0
50068,Valea Salciei,1.0,1.0
50102,Vernesti,1.0,12.0
50228,Vintila Voda,5.0,15.0
50326,Viperesti,2.0,2.0
50399,Valcelele,1.0,2.0
50415,Zarnesti,1.0,6.0
50479,Ziduri,0.0,4.0
50549,Unguriu,84.0,2.0
50564,Florica,1.0,1.0
50790,Municipiul Resita,763.0,219.0
50889,Oras Anina,12.0,8.0
50923,Oras Baile Herculane,12.0,13.0
50969,Oras Bocsa,12.0,29.0
50987,Ocna De Fier,0.0,1.0
51010,Municipiul Caransebes,227.0,76.0
51056,Oras Moldova Noua,63.0,23.0
51118,Oras Oravita,121.0,16.0
51207,Oras Otelu Rosu,58.0,45.0
51243,Armenis,0.0,1.0
51305,Bania,0.0,0.0
51332,Bautar,0.0,2.0
51387,Berliste,0.0,1.0
51449,Berzasca,0.0,1.0
51500,Berzovia,0.0,2.0
51546,Bolvasnita,0.0,1.0
51573,Bozovici,0.0,10.0
51626,Brebu,0.0,1.0
