Siruta,Localitate,Judet,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
133278,Fantanele,PH,1,0,4,2,1
133330,Floresti,PH,3,8,8,48,3
133394,Fulga,PH,3,0,5,0,3
133429,Gherghita,PH,1,0,3,0,1
133508,Gorgota,PH,5,0,9,0,5
133562,Gornet,PH,2,0,5,0,2
133615,Gornet-Cricov,PH,1,0,3,0,1
133688,Gura Vadului,PH,1,0,1,0,1
133722,Iordacheanu,PH,2,0,4,0,2
133795,Izvoarele,PH,3,0,7,0,3
133866,Jugureni,PH,1,0,1,0,1
133919,Lapos,PH,0,0,1,0,0
133964,Lipanesti,PH,2,0,3,0,2
134014,Magurele,PH,1,0,5,0,1
134050,Magureni,PH,2,0,10,0,2
134096,Maneciu,PH,7,0,13,0,7
134194,Manesti,PH,2,0,4,0,2
134336,Pacureti,PH,1,0,1,0,1
134390,Plopu,PH,1,0,3,0,1
134443,Podenii Noi,PH,2,0,4,0,2
134559,Poienarii Burchii,PH,3,1,4,4,3
134648,Posesti,PH,1,0,2,0,1
134755,Predeal-Sarari,PH,1,0,2,0,1
134853,Provita De Jos,PH,1,0,3,0,1
134899,Provita De Sus,PH,1,0,2,0,1
134942,Puchenii Mari,PH,3,0,6,5,3
135020,Rafov,PH,2,0,4,0,2
135128,Salcia,PH,0,0,1,0,0
135146,Salciile,PH,1,0,2,0,1
135164,Scorteni,PH,3,3,5,14,3
135226,Secaria,PH,1,0,3,0,1
135244,Sangeru,PH,1,0,3,0,1
135315,Starchiojd,PH,0,0,4,0,0
135404,Surani,PH,1,0,3,0,1
135431,Sirna,PH,2,0,3,0,2
135501,Soimari,PH,1,0,3,0,1
135547,Sotrile,PH,1,0,4,0,1
135618,Stefesti,PH,1,0,2,0,1
135654,Talea,PH,0,0,0,0,0
135681,Tataru,PH,1,0,1,0,1
135725,Teisani,PH,2,0,4,0,2
135789,Telega,PH,2,0,5,0,2
135850,Tinosu,PH,1,0,3,0,1
135896,Tomsani,PH,2,0,5,0,2
135949,Valea Calugareasca,PH,5,0,10,0,5
136107,Valea Doftanei,PH,3,0,7,0,3
136134,Varbilau,PH,3,0,7,0,3
136198,Valcanesti,PH,1,0,2,0,1
136241,Cocorastii Colt,PH,1,0,3,0,1
136250,Olari,PH,1,0,1,0,1
136269,Vadu Sapat,PH,0,0,1,0,0
136278,Batrani,PH,1,0,2,0,1
136483,Municipiul Satu Mare,SM,98,268,432,720,92
136526,Municipiul Carei,SM,16,38,56,132,15
136553,Capleni,SM,3,0,4,0,3
136599,Oras Negresti-Oas,SM,15,42,36,115,5
136642,Oras Tasnad,SM,8,8,22,24,4
136713,Acas,SM,0,0,4,0,0
136768,Andrid,SM,1,0,2,0,1
136802,Apa,SM,1,0,2,0,1
136848,Oras Ardud,SM,3,0,12,0,2
136919,Batarci,SM,1,0,1,0,1
136964,Beltiug,SM,0,0,0,0,0
137032,Berveni,SM,1,0,2,0,1
137069,Bixad,SM,3,4,6,11,3
137103,Barsau,SM,0,0,0,0,0
137130,Bogdand,SM,1,0,2,0,1
137185,Botiz,SM,1,0,3,0,1
137229,Calinesti-Oas,SM,4,0,6,0,4
137274,Camarzana,SM,1,0,1,0,1
137292,Cauas,SM,1,0,1,0,1
137363,Cehal,SM,1,0,1,0,1
137407,Certeze,SM,1,0,1,0,1
137443,Craidorolt,SM,1,0,2,0,1
137504,Crucisor,SM,1,0,1,0,1
137540,Culciu,SM,1,0,3,0,1
137611,Doba,SM,1,0,2,0,1
137675,Dorolt,SM,2,0,4,0,2
137728,Foieni,SM,1,0,2,3,1
137746,Gherta Mica,SM,1,0,1,0,1
137764,Halmeu,SM,3,0,7,0,3
137844,Hodod,SM,2,0,2,0,2
137899,Homoroade,SM,1,0,2,0,1
137960,Lazuri,SM,3,0,4,1,3
138039,Oras Livada,SM,4,0,9,5,3
138084,Mediesu Aurit,SM,3,0,6,0,3
138164,Micula,SM,3,0,4,0,3
138208,Moftin,SM,2,0,2,0,2
138280,Odoreu,SM,2,0,4,2,2
138351,Orasu Nou,SM,3,0,5,0,3
138431,Paulesti,SM,4,0,6,1,2
138501,Petresti,SM,1,0,3,1,1
138538,Pir,SM,1,0,1,0,1
138574,Piscolt,SM,1,0,2,0,1
138618,Pomi,SM,2,0,4,0,2
138663,Sanislau,SM,1,0,3,0,1
138734,Santau,SM,0,0,1,0,0
138770,Sacaseni,SM,0,0,0,0,0
138805,Sauca,SM,0,0,0,0,0
138869,Socond,SM,0,0,2,0,0
138921,Supur,SM,4,0,7,0,4
139009,Tarna Mare,SM,2,0,2,0,2
139054,Terebesti,SM,4,0,4,0,4
139107,Tiream,SM,2,0,2,0,2
139143,Tarsolt,SM,1,0,1,0,1
139170,Turt,SM,4,0,7,1,4
139214,Turulung,SM,1,0,3,0,1
139250,Urziceni,SM,1,0,1,0,1
139287,Valea Vinului,SM,1,0,3,1,1
139330,Vama,SM,1,0,2,0,1
139358,Vetis,SM,3,0,4,0,2
139394,Viile Satu Mare,SM,0,0,3,0,0
139704,Municipiul Zalau,SJ,104,165,300,506,40
139740,Oras Cehu Silvaniei,SJ,6,1,19,9,6
139811,Oras Jibou,SJ,6,11,25,49,4
139884,Oras Simleu Silvaniei,SJ,8,53,30,78,8
139937,Agrij,SJ,1,0,1,0,1
139982,Almasu,SJ,1,0,3,0,1
140084,Babeni,SJ,1,0,3,0,1
140146,Balan,SJ,1,0,3,0,1
140208,Banisor,SJ,1,0,2,0,1
140244,Benesat,SJ,0,0,0,1,0
140280,Bobota,SJ,3,0,3,0,2
140324,Bocsa,SJ,2,0,4,0,2
140379,Buciumi,SJ,1,0,2,1,1
140440,Camar,SJ,1,0,1,0,1
140477,Carastelec,SJ,1,0,1,0,1
140501,Chiesd,SJ,1,0,1,1,1
140547,Cizer,SJ,1,0,2,0,1
140583,Coseiu,SJ,0,0,0,0,0
140627,Crasna,SJ,3,3,13,16,3
140672,Creaca,SJ,1,0,3,1,1
140770,Cristolt,SJ,1,0,1,1,1
140823,Criseni,SJ,1,0,3,0,1
140869,Cuzaplac,SJ,1,0,2,1,1
140958,Dobrin,SJ,1,0,1,0,1
141027,Dragu,SJ,1,0,1,0,1
141081,Fildu De Jos,SJ,1,0,1,1,1
141134,Galgau,SJ,1,0,2,1,1
141232,Garbou,SJ,1,0,1,1,1
141312,Halmasd,SJ,1,0,2,0,1
141376,Hereclean,SJ,2,0,3,1,2
141447,Hida,SJ,2,0,4,1,2
141535,Horoatu Crasnei,SJ,1,0,1,0,1
141580,Ileanda,SJ,1,3,4,11,1
141722,Ip,SJ,1,0,2,0,1
141786,Letca,SJ,1,0,2,1,1
141884,Lozna,SJ,0,0,0,1,0
141946,Marca,SJ,1,0,2,0,1
142006,Maeriste,SJ,1,0,1,0,1
142079,Mesesenii De Jos,SJ,1,0,1,1,1
142122,Mirsid,SJ,1,0,2,1,1
142177,Napradea,SJ,1,0,1,0,1
142239,Nusfalau,SJ,3,0,4,8,3
142284,Pericei,SJ,2,0,3,16,2
142337,Plopis,SJ,1,0,1,1,1
142373,Poiana Blenchii,SJ,1,0,1,0,1
142426,Romanasi,SJ,1,0,3,0,1
142499,Rus,SJ,1,0,1,1,1
142550,Salatig,SJ,1,0,2,0,1
142612,Sag,SJ,1,0,2,0,1
142676,Sanmihaiu Almasului,SJ,1,0,2,0,1
142710,Somes-Odorhei,SJ,1,0,1,0,1
142774,Surduc,SJ,1,0,6,1,1
142854,Samsud,SJ,1,0,2,0,1
142881,Sarmasag,SJ,3,0,5,0,3
142952,Valcau De Jos,SJ,1,0,2,0,1
143021,Varsolt,SJ,1,0,2,0,1
143067,Zalha,SJ,0,0,0,0,0
143147,Zimbor,SJ,0,0,0,1,0
143450,Municipiul Sibiu,SB,231,821,844,1331,132
143487,Cristian,SB,2,0,3,0,2
143502,Poplaca,SB,1,0,2,0,1
143520,Rasinari,SB,5,0,5,0,5
143557,Selimbar,SB,3,0,8,0,3
143619,Municipiul Medias,SB,43,52,105,205,35
143646,Tarnava,SB,0,0,1,0,0
143682,Oras Agnita,SB,8,10,20,27,6
143735,Oras Cisnadie,SB,17,12,32,25,11
143771,Oras Copsa Mica,SB,2,0,7,0,2
143806,Oras Dumbraveni,SB,5,0,15,0,4
143851,Oras Ocna Sibiului,SB,4,0,9,0,3
143888,Altina,SB,1,0,1,0,1
143922,Apoldu De Jos,SB,1,0,2,0,1
143959,Arpasu De Jos,SB,1,0,2,0,1
143995,Atel,SB,1,0,2,0,1
144054,Oras Avrig,SB,12,0,36,0,9
144116,Axente Sever,SB,2,0,3,0,2
144152,Bazna,SB,1,1,2,5,1
144198,Biertan,SB,2,0,2,7,2
144232,Barghis,SB,1,0,1,0,1
