Siruta,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
9627,-0.007359949937627637,-0.0628084421437387,-0.0321238093535162,-0.08652487487581467,0.03709131657433581
9654,-0.007359949937627637,-0.0628084421437387,-0.024606828512444036,-0.08652487487581467,0.007446221593692041
9690,0.06174824140584438,0.010530515169001619,0.1257327883089993,0.01507388355449014,0.03709131657433581
9743,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
9798,-0.05343207749994232,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.05184396836759549
9832,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
9887,-0.05343207749994232,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.05184396836759549
9930,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
10006,-0.06495010939052098,-0.044473702815553615,-0.08474267524102136,-0.057028461137984245,-0.08148906334823926
10051,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
10104,-0.05343207749994232,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,-0.05184396836759549
10195,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
10239,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
10293,-0.04191404560936365,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,-0.022198873386951725
10346,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
10373,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
10417,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
10453,-0.04191404560936365,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,-0.022198873386951725
10514,-0.05343207749994232,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,-0.05184396836759549
10532,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
10649,-0.04191404560936365,-0.03836212303949192,-0.08474267524102136,0.008519124946083378,-0.08148906334823926
10701,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
10765,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
10827,-0.030396013718784975,-0.0628084421437387,-0.06970871355887703,-0.08324749557161129,-0.022198873386951725
10872,-0.018877981828206308,-0.05058528259161531,-0.0321238093535162,-0.057028461137984245,-0.022198873386951725
10916,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
10943,-0.007359949937627637,-0.056696862367677,-0.0321238093535162,-0.04391894392117072,0.03709131657433581
11058,-0.04191404560936365,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,-0.022198873386951725
11174,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
11236,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
11307,-0.07646814128109966,-0.0628084421437387,-0.10729361776423786,-0.08980225418001805,-0.11113415832888303
11352,-0.04191404560936365,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.05184396836759549
11398,-0.04191404560936365,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.022198873386951725
11423,-0.05343207749994232,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.05184396836759549
11478,-0.030396013718784975,-0.056696862367677,0.012978075692916794,-0.07013797835479776,-0.05184396836759549
11502,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
11539,-0.04191404560936365,-0.0628084421437387,-0.08474267524102136,-0.08324749557161129,-0.05184396836759549
11584,0.015676113843529703,-0.0628084421437387,-0.009572866830299703,-0.07013797835479776,0.09638150653562334
11637,-0.06495010939052098,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.08148906334823926
11664,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.07669273696320453,-0.08148906334823926
11735,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
11762,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
11842,-0.06495010939052098,-0.056696862367677,-0.0997766369231657,-0.06686059905059438,-0.08148906334823926
11940,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
11995,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
12037,-0.05343207749994232,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.05184396836759549
12055,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
12091,0.038712177624687046,-0.0628084421437387,0.028012037375061128,-0.08324749557161129,0.1260266015162671
12126,-0.04191404560936365,-0.0628084421437387,-0.06970871355887703,-0.08980225418001805,-0.05184396836759549
12144,-0.04191404560936365,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.022198873386951725
12206,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
12224,-0.04191404560936365,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.022198873386951725
12242,-0.018877981828206308,-0.0628084421437387,-0.0772256943999492,-0.08324749557161129,0.007446221593692041
12288,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
12340,-0.04191404560936365,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.022198873386951725
